ID,name_en,name_cz,src_en,src_cz,desc_cz,desc_en,common,hard,hard_tol,spgrav,spgrav_tol,color,group_id,formula,test
60,Atacamite,Atacamit,,https://cs.wikipedia.org/wiki/Atacamit,,,1,3.25,0.25,,0,zelená až černozelená,3,Cu2[(OH)3|Cl],
61,Augelite,Augelit,,,,,0,,0,,0,,7,,
62,Augite,Augit,,https://cs.wikipedia.org/wiki/Augit,,,1,5.75,0.25,,0,"černá, hnědočerná,tmavozelená",8,"(Ca,Na)(Mg,Fe,Al,Ti)[(Si,Al)2O6]",
63,Aurichalcite,Aurichalcit,,,,,0,,0,,0,,5,,
64,Auripigment,Auripigment,,https://cs.wikipedia.org/wiki/Auripigment,,,1,1.75,0.25,,0,"zlatožlutá, oranžově žlutá,hnědá",2,As2S3,
65,Austinite,Austunit,,,,,0,,0,,0,,7,,
66,Autunity,Autunit,,https://cs.wikipedia.org/wiki/Autunit,,,1,2.25,0.25,,0,"žlutá až nazelenalá, fluorescentní",7,Ca(UO2)2(PO4)2·10-12H2O,
67,Axinite,Axinit,,https://cs.wikipedia.org/wiki/Axinit,,,1,6.75,0.25,,0,hnědá až fialová,8,"(Ca,Fe,Mn)3Al2BO3Si4O12OH",
68,Asbestos,Azbest,,https://cs.wikipedia.org/wiki/Azbest,,,1,2.75,0.25,,0,"nazelenalá, nažloutlá, namodralá až bílá",8,Na2Fe2+3Fe3+2Si8O22(OH)2,
69,Azurite,Azurit,,https://cs.wikipedia.org/wiki/Azurit,,,1,3.75,0.25,,0,"azurově modrý, světle modrýaž černě modrý",5,Cu3(CO3)2(OH)2,
70,Babingtonite,Babingtonit,,,,,0,,0,,0,,8,,
71,Bari?it,Bari?it,,,,,0,,0,,0,,7,,
72,Barrandit,Barrandit,,,,,0,,0,,0,,7,,
73,Barite,Baryt,,https://cs.wikipedia.org/wiki/Baryt,,,1,3.25,0.25,,0,"bezbarvý, různě zbarvený",6,BaSO4,
74,Barytocalcite,Barytokalcit,,,,,0,,0,,0,,5,,
75,Bassetite,Bassetit,,,,,0,,0,,0,,7,,
76,Bastnäsit,Bastnäsit,,,,,0,,0,,0,,3,,
77,Baumhauer,Baumhauerit,,,,,0,,0,,0,,2,,
78,Bauxite,Bauxit,,https://cs.wikipedia.org/wiki/Bauxit,,,1,2,1,,0,"hnědo-žlutá, červená",4,Al2O3·2 H2O,
79,Bavenite,Bavenit,,,,,0,,0,,0,,8,,
80,Bayldonite,Bayldonit,,,,,0,,0,,0,,7,,
81,Bazzit,Bazzit,,,,,0,,0,,0,,8,,
82,Benitoid,Benitoit,,https://cs.wikipedia.org/wiki/Benitoit,,,1,,0,,0,,8,,
83,Bentonite,Bentonit,,https://cs.wikipedia.org/wiki/Bentonit,,,1,,0,,0,,8,,
84,Beraunit,Beraunit,,,,,0,,0,,0,,7,,
85,Berthierite,Berthierit,,https://cs.wikipedia.org/wiki/Berthierit,,,1,2.5,0.5,,0,ocelově šedá s náběhy,2,FeSb2S4,
86,Bertrandite,Bertrandit,,,,,0,,0,,0,,8,,
87,Beryl,Beryl,,https://cs.wikipedia.org/wiki/Ko%C4%8Di%C4%8D%C3%AD_oko_(beryl),,,1,7.75,0.25,,0,"bezbarvý, odstíny různých barev",8,Be3Al2Si6O18,
88,Berylonite,Beryllonit,,,,,0,,0,,0,,7,,
89,Betafit,Betafit,,,,,0,,0,,0,,4,,
90,Beudantite,Beudantit,,,,,0,,0,,0,,6,,
91,Biotite,Biotit,,https://cs.wikipedia.org/wiki/Biotit,,,1,2.75,0.25,,0,hnědý až černohnědý,8,"K(Mg,Fe2+)3[(OH,F)2(Al,Fe3+)Si3O10][1]",
92,Bismuth,Bizmut,,https://cs.wikipedia.org/wiki/Bismut,,,1,2.25,0,,0,,1,Bi,
93,Bismuth,Bizmutin,,,,,0,,0,,0,,2,,
94,Hurt,Boleit,,,,,0,,0,,0,,3,,
95,Boracite,Boracit,,,,,0,,0,,0,,5,,
96,Borax,Borax,,https://cs.wikipedia.org/wiki/Borax,,,1,2.25,0.25,,0,"bezbarvý, bílý, šedý…",5,Na2B4O7·10H2O,
97,Bornit,Bornit,,https://cs.wikipedia.org/wiki/Bornit,,,1,3,0,,0,hnědě červenavána vzduchu od modrofialové do černé,2,Cu5FeS4,
98,Botryogen,Botryogen,,,,,0,,0,,0,,6,,
99,Boulangerite,Boulangerit,,https://cs.wikipedia.org/wiki/Boulangerit,,,1,2.5,0,,0,olověná až černá,2,Pb5Sb4S11,
100,Bournonite,Bournonit,,https://cs.wikipedia.org/wiki/Bournonit,,,1,3,0,,0,"olověná, černá",2,PbCuSbS3,
101,Brownite,Braunit,,,,,0,,0,,0,,8,,
102,Brazilianity,Brazilianit,,,,,0,,0,,0,,7,,
103,Breithauptite,Breithauptit,,,,,0,,0,,0,,2,,
104,Brenkit,Brenkit,,,,,0,,0,,0,,5,,
105,Brochantite,Brochantit,,https://cs.wikipedia.org/wiki/Brochantit,,,1,3.75,0.25,,0,smaragdově zelená,6,Cu4[(OH)6|SO4],
106,Bronze,Bronzit,,,,,0,,0,,0,,8,,
107,Brookite,Brookit,,https://cs.wikipedia.org/wiki/Brookit,,,1,5.75,0.25,,0,"žlutohnědá, červenohnědáaž černá",4,TiO2,
108,Bruise,Brucit,,,,,0,,0,,0,,4,,
109,Buergerite,Buergerit,https://en.m.wikipedia.org/wiki/Fluor-buergerite,,,,0,,0,,0,,8,"NaFe3+3Al6(BO3)3Si6O18(O,F,OH)4",
110,Alexandrite,Alexandrit,,https://cs.m.wikipedia.org/wiki/Alexandrit,,,0,8.5,0,,0,"žlutý až smaragdově zelený, modrozelený, šedohnědý",8,BeAl2O4,
111,Burkeit,Burkeit,,,,,0,,0,,0,,6,,
112,Byssolite,Byssolit,,,,,0,,0,,0,,8,,
113,Bytownit,Bytownit,,,,,0,,0,,0,,8,,
114,Boehmite,Böhmit,,,,,0,,0,,0,,4,,
115,Cabrerite,Cabrerit,,,,,0,,0,,0,,7,,
116,Calaverite,Calaverit,,,,,0,2.75,0.25,,0,mosazně žlutá,2,AuTe2,
117,Caledonite,Caledonit,,,,,0,,0,,0,,6,,
118,Californian,Californit,,,,,0,,0,,0,,8,,
119,Carnallite,Carnallit,,,,,0,,0,,0,,3,,
120,Carnotite,Carnotit,,,,,0,,0,,0,,7,,
121,Carrollite,Carrollit,,,,,0,,0,,0,,2,,
122,Celestine,Celestin,,,,,0,,0,,0,,6,,
123,Cerit,Cerit,,,,,0,,0,,0,,8,,
124,Cerusite,Cerusit,,https://cs.wikipedia.org/wiki/Cerusit,,,1,3.25,0.25,,0,"bělavá, žlutá, černá",5,PbCO3,
125,Chabazite,Chabazit,,,,,0,,0,,0,,8,,
126,Chalcedony,Chalcedon,,https://cs.wikipedia.org/wiki/Chalcedon,,,1,6.75,0.25,,0,"bílá, šedá...",4,SiO2,
127,Chalcanthite,Chalkantit,,https://cs.wikipedia.org/wiki/Chalkantit,,,1,2.5,0,,0,modrá,6,CuSO4 . 5 H2O,
128,Chalcophyllite,Chalkofylit,,,,,0,,0,,0,,7,,
129,Chalcolithic,Chalkolit,,,,,0,,0,,0,,7,,
130,Chalcopyrite,Chalkopyrit,,https://cs.wikipedia.org/wiki/Chalkopyrit,,,1,3.75,0.25,,0,"mosazně žlutá, zlatožlutá",2,CuFeS2,
131,Chalcotrichite,Chalkotrichit,,,,,0,3.75,0.25,,0,"hnědočervená, červená...",4,Cu2O,
132,Chalcosine,Chalkozín,,,,,0,2.75,0.25,,0,"světle modrošedá, rychle tmavne a modravě nabíhá",2,Cu2S,
133,Chamosite,Chamosit,,,,,0,,0,,0,,8,,
134,Chiastolite,Chiastolit,,,,,0,,0,,0,,8,,
135,Chiavennite,Chiavennit,,,,,0,,0,,0,,8,,
136,Childrenit,Childrenit,,,,,0,,0,,0,,7,,
137,Chloantite,Chloantit,,,,,0,,0,,0,,2,NiAs2,
138,Chlorargyrite,Chlorargyrit,,https://cs.wikipedia.org/wiki/Chlorargyrit,,,1,1.75,0.25,,0,"bezbarvý, šedý",3,AgCl,
139,Chlorargyrite,Chlorargyrit,,https://cs.wikipedia.org/wiki/Chlorargyrit,,,1,1.75,0.25,,0,"bezbarvý, šedý",3,AgCl,
140,Chloritoid,Chloritoid,,https://cs.wikipedia.org/wiki/Chloritoid,,,1,,0,,0,,8,,
141,Chondrodite,Chondrodit,,,,,0,,0,,0,,8,,
142,Chromdravit,Chromdravit,,,,,0,,0,,0,,8,,
143,Chromite,Chromit,,https://cs.wikipedia.org/wiki/Chromit,,,1,5.5,0,,0,"hnědočerná, černá",4,FeCr2O4,
144,Chrysoberyl,Chryzoberyl,,https://cs.wikipedia.org/wiki/Chryzoberyl,,,1,8.5,0,,0,"žlutá, světle zelená...",4,BeAl2O4,
145,Chrysocolla,Chryzokol,,,,,0,,0,,0,,8,,
146,Chrysoprase,Chryzopras,,https://cs.wikipedia.org/wiki/Chryzopras,,,1,6.75,0.25,,0,odstíny zelené,4,SiO2,
147,Chrysotile,Chryzotil,,,,,0,,0,,0,,8,,
148,Cinnabarite,Cinabarit,,https://cs.wikipedia.org/wiki/Cinabarit,,,1,2.25,0.25,,0,"červená, hnědočervená",2,HgS,
149,Cinvaldite,Cinvaldit,,,,,0,,0,,0,,8,,
150,Citrine,Citrin,,,,,0,,0,,0,,4,,
151,Clausthalite,Clausthalit,,,,,0,,0,,0,,2,,
152,Colemanite,Colemanit,,,,,0,,0,,0,,5,,
153,Collinsite,Collinsit,,,,,0,,0,,0,,7,,
154,Columbite,Columbit,,,,,0,,0,,0,,4,,
155,Connellite,Connellit,,,,,0,,0,,0,,6,,
156,Copiapit,Copiapit,,,,,0,,0,,0,,6,,
157,Cordierite,Cordierit,,https://cs.wikipedia.org/wiki/Cordierit,,,1,,0,,0,,8,,
158,Cornetite,Cornetit,,,,,0,,0,,0,,7,,
159,Cornwallite,Cornwallit,,,,,0,,0,,0,,7,,
160,Coronadite,Coronadit,,,,,0,,0,,0,,4,,
161,Covellin,Covellin,,https://cs.wikipedia.org/wiki/Covellin,,,1,,0,,0,,2,,
162,Crandallite,Crandallit,,,,,0,,0,,0,,7,,
163,Creedit,Creedit,,,,,0,,0,,0,,6,,
164,Cronstedtite,Cronstedtit,,,,,0,,0,,0,,8,,
165,Crossite,Crossit,,,,,0,,0,,0,,8,,
166,Cubanite,Cubanit,,,,,0,,0,,0,,2,,
167,Cumengite,Cumengit,,,,,0,,0,,0,,4,,
168,Curit,Curit,,,,,0,,0,,0,,4,,
169,Cyprinus,Cyprin,,,,,0,,0,,0,,8,,
170,Danburite,Danburit,,,,,0,,0,,0,,8,,
171,Datolite,Datolit,,,,,0,,0,,0,,8,,
172,Davidite,Davidit,,,,,0,,0,,0,,4,,
173,Delvauxite,Delvauxit,,,,,0,,0,,0,,7,,
174,Demantoid,Demantoid,,,,,0,,0,,0,,8,,
175,Desautelsit,Desautelsit,,,,,0,,0,,0,,5,,
