ID,aplikace,portable,platform,firma,web,popis,verze,kategorie,licence,testfield,aktualizovat
338,CloudCompare,,uni,,http://cloudcompare.org/release/index.html,GIS,,3,,,
339,Leaflet,,uni,,https://leafletjs.com/download.html,GIS embed,,3,,,
340,Whitebox Tools,,uni,Whitebox Geospatial Inc.,https://jblindsay.github.io/ghrg/software.shtml,GIS tools,,3,,,0
341,Saga GIS,,uni,,https://saga-gis.sourceforge.io/en/index.html,GIS,,3,,,0
342,SQL Alchemy,,uni,,https://www.sqlalchemy.org/download.html,SQL python toolkit,,8,,,0
343,RegEx Buddy,,win,,https://www.regexbuddy.com/download.html,,,1,,,0
344,Bpytop,,lnx,,https://github.com/aristocratos/bpytop,process explorer,,4,,,1
345,Stacer,,lnx,,https://oguzhaninan.github.io/Stacer-Web,clean and monitoring,,,,,0
346,Notepadqq,,lnx,,https://notepadqq.com/s/,text editor,,1,,,1
347,RStudio,,uni,,https://posit.co/download/rstudio-desktop/,programming,,,,,0
348,Marktext,,uni,,https://github.com/marktext/marktext/releases,note taking markdown,,,,,
349,Typora,,uni,,https://typora.io/,note taking markdown,,,,,
350,MusicBee,,win,,https://www.getmusicbee.com/downloads/,music player,,2,,,0
351,XMPlay,,win,,https://support.xmplay.com/,,,2,,,
352,1Password,,uni,,https://1password.com,password manager,,7,,,
353,Tor Browser,,uni,,https://www.torproject.org/download/,secure browser,,,,,0
354,Handbrake,,uni,,https://handbrake.fr/,video transcoder,,2,,,0
355,Git,,,,,,,,,,
356,GitKraken,,,,https://www.gitkraken.com/,,,,,,
357,Free Tube,,uni,,https://freetubeapp.io/#download,youtube player,,2,,,0
