ID,name_lat,alts,name_cz,name_sk,Nazev_lidovy,Celed,Vyznam,Obrazek,Botanik_char,Oblast,Narok_char,Sklizen_uprava,Uziti,Uzitek,Typ,Barva,Temp
1795,Ligustrum vulgare L. ,,ptačí zob obecný,,,Oleaceae,0,,,,,,,,,,Oleaceae
1796,Lilium bulbiferum L.,,lilie cibulkonosná,,,Liliaceae,0,,,,,,,,,,Liliaceae
1797,Lilium candidum L.,,lilie bělostná,Ľalia biela,,Liliaceae,0,,,,,,,,,#ffffff,Liliaceae
1798,Lilium martagon L.,,lilie zlatohlavá,,,Liliaceae,0,,,,,,,,,,Liliaceae
1799,Lilium regale Wilson,,,,,Liliaceae,0,,,,,,,,,,Liliaceae
1800,Lilium tigrinum Ker. Gawl.,,lilie tygrovaná,,,Liliaceae,0,,,,,,,,,,Liliaceae
1801,Limodorum abortivum (L.) Sw.,,hnědenec zvrhlý,,,Orchidaceae,0,,,,,,,,,,Orchidaceae
1802,Limonium sinuatum (L.) Mill.,Syn.: Statice sinuata L.,limonka chobotnatá (statice chobotnatá),,,Plumbaginaceae,0,,,,,,,,,,Plumbaginaceae
1803,Limosella aquatica L.,,blatěnka vodní,,,Plantaginaceae,0,,,,,,,,,,Plantaginaceae
1804,Linaria genistifolia (L.) Mill.,,lnice kručinkolistá,,,Plantaginaceae,0,,,,,,,,,,Plantaginaceae
1805,Linaria purpurea (L.) Mill.,,lnice nachová,,,Plantaginaceae,0,,,,,,,,,,Plantaginaceae
1806,Linaria repens (L.) Mill.,,lnice plazivá,,,Plantaginaceae,0,,,,,,,,,,Plantaginaceae
1807,Linaria vulgaris Mill.,,lnice květel,Pyštek obyčajný,"bradavičník hledík, hubička, hubilen, krhavice, květel, len Matky Boží, lnice obecná, ohnice, ovčí hubičky, pantoflíčky, paštička, povázka květel, rozmarynka, rozrazil, zvěšinec obecný",Plantaginaceae,0,,,,,,,,,#ffd700,Plantaginaceae
1808,Lindernia dubia (L.) Pennell,,puštička pochybná,,,Linderniaceae,0,,,,,,,,,,Linderniaceae
1809,Lindernia procumbens (Krock.) Borbás,Syn.: Lindernia pyxidaria L.,puštička poudernatá,,,Linderniaceae,0,,,,,,,,,,Linderniaceae
1810,Linnaea borealis L. ,,zimozel severní,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1811,Linum austriacum L. ,,len rakouský,,,Linaceae,0,,,,,,,,,,Linaceae
1812,Linum flavum L. ,,len žlutý,,,Linaceae,0,,,,,,,,,,Linaceae
1813,Linum hirsutum L. ,,len chlupatý,,,Linaceae,0,,,,,,,,,,Linaceae
1814,Linum perenne L. ,,len vytrvalý,,,Linaceae,0,,,,,,,,,,Linaceae
1815,Linum tenuifolium L. ,,len tenkolistý,,,Linaceae,0,,,,,,,,,,Linaceae
1816,Linum usitatissimum L. ,,len setý,Len užitkový,,Linaceae,1,,,,,,,,,#40e0d0#ffffff,Linaceae
1817,Liparis loeselii (L.) Rich.,,hlízovec loeselův,,,Orchidaceae,0,,,,,,,,,,Orchidaceae
1818,Liriodendron tulipifera L. ,,liliovník tulipánokvětý,,,Magnoliaceae,0,,,,,,,,,,Magnoliaceae
1819,Listera cordata (L.) R. Br.,,bradáček srdčitý,,,Orchidaceae,0,,,,,,,,,,Orchidaceae
1820,Listera ovata (L.) R. Br.,,bradáček vejčitý,,,Orchidaceae,0,,,,,,,,,,Orchidaceae
1821,Lithospermum arvense L.,"Syn.: Aegonychon arvense (L.) Gray, Buglossoides arvensis (L.) I.M. Johnst., Lithodora arvensis (L.) Greuter",kamejka rolní (kamejnička rolní),,,Boraginaceae,0,,,,,,,,,,Boraginaceae
1822,Lithospermum officinale L.,,kamejka lékařská,,,Boraginaceae,0,,,,,,,,,,Boraginaceae
1823,Lithospermum purpurocaeruleum L.,"Syn.: Aegonychon purpurocaeruleum (L.) Holub, Buglossoides purpurocaerulea (L.) I.M. Johnst., Margarospermum purpurocaeruleum (L.) Opiz ",kamejka modronachová (kamejnice modronachová),,,Boraginaceae,0,,,,,,,,,,Boraginaceae
1824,Littorella uniflora (L.) Asch.,,pobřežnice jednokvětá,,,Plantaginaceae,0,,,,,,,,,,Plantaginaceae
1825,Lobularia maritima (L.) Desv.,,tařicovka přímořská,,,Brassicaceae,0,,,,,,,,,,Brassicaceae
1826,Lolium loliaceum (Bory et Chaub.) Hand.-Mazz.,,jílek cizí,,,Poaceae,0,,,,,,,,,,Poaceae
1827,Lolium multiflorum Lam.,Syn.: Lolium italicum A. Braun,jílek mnohokvětý,,,Poaceae,0,,,,,,,,,,Poaceae
1828,Lolium perenne L. ,,jílek vytrvalý,,,Poaceae,0,,,,,,,,,,Poaceae
1829,Lolium remotum Schrank,,jílek oddálený,,,Poaceae,0,,,,,,,,,,Poaceae
1830,Lolium rigidum Gaudin,,jílek tuhý,,,Poaceae,0,,,,,,,,,,Poaceae
1831,Lolium temulentum L. ,,jílek mámivý,,,Poaceae,0,,,,,,,,,,Poaceae
1832,Lonicera caprifolium L. ,,zimolez kozí list,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1833,Lonicera fragrantissima Lindl. et Paxton ,,zimolez vonný,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1834,Lonicera involucrata Spreng.,,zimolez zákrovečný,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1835,Lonicera nigra L. ,,zimolez černý,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1836,Lonicera nitida E. H. Wilson ,,zimolez lesklý,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1837,Lonicera periclymenum L. ,,zimolez ovíjivý,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1838,Lonicera pileata Oliv.,,zimolez fialový,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1839,Lonicera tatarica L. ,,zimolez tatarský,,,Caprifoliaceae,0,,,,,,,,,,Caprifoliaceae
1840,Loranthus europaeus Jacq. ,,ochmet evropský,,,Loranthaceae,0,,,,,,,,,,Loranthaceae
1841,"Lotus borbasii Ujhelyi Syn.: Lotus corniculatus subsp. slovacus Žertová, L. corniculatus subsp. major auct. ",,štírovník borbásův,,,Fabaceae,0,,,,,,,,,,Fabaceae
1842,Lotus corniculatus L. ,,štírovník růžkatý,,,Fabaceae,0,,,,,,,,,,Fabaceae
1843,Lotus tenuis Willd.,"Syn.: Lotus corniculatus subsp. tenuifolius (L.) Hartm., L. glaber Mill.",štírovník tenkolistý,,,Fabaceae,0,,,,,,,,,,Fabaceae
1844,Lotus uliginosus Schkuhr ,Syn.: ? Lotus pedunculatus Cav.,štírovník bažinný,,,Fabaceae,0,,,,,,,,,,Fabaceae
1845,Ludwigia palustris (L.) Elliott ,,zakucelka bahenní,,,Onagraceae,0,,,,,,,,,,Onagraceae
1846,Lunaria annua L.,,měsíčnice roční,,,Brassicaceae,0,,,,,,,,,,Brassicaceae
1847,Lupinus albus L. ,,lupina bílá (vlčí bob bílý),,,Fabaceae,0,,,,,,,,,,Fabaceae
1848,Lupinus angustifolius L. ,,lupina úzkolistá (vlčí bob úzkolistý),,,Fabaceae,0,,,,,,,,,,Fabaceae
1849,Lupinus luteus L. ,,lupina žlutá (vlčí bob žlutý),,,Fabaceae,0,,,,,,,,,,Fabaceae
1850,Luronium natans (L.) Rafin.,,žabníček vzplývavý,,,Alismataceae,0,,,,,,,,,,Alismataceae
1851,Luzula campestris (L.) DC. s.str.,,bika ladní,,,Juncaceae,0,,,,,,,,,,Juncaceae
1852,Luzula divulgata Kirschner,,bika obecná,,,Juncaceae,0,,,,,,,,,,Juncaceae
1853,Luzula luzulina (Vill.) Racib.,Syn.: Luzula flavescens (Host) Gaudin,bika žlutavá,,,Juncaceae,0,,,,,,,,,,Juncaceae
1854,Luzula luzuloides (Lam.) Dandy et Wilmott,"Syn.: Luzula albida (Hoffm.) DC., L. nemorosa (Pollich) E. Mey. ",bika bělavá (bika hajní),,,Juncaceae,0,,,,,,,,,,Juncaceae
1855,Luzula luzuloides subsp. luzuloides,,bika bělavá pravá,,,Juncaceae,0,,,,,,,,,,Juncaceae
1856,Luzula luzuloides subsp. rubella (Mert. et W.D.J. Koch) Holub Syn.: Luzula luzuloides subsp. cuprina (Asch. et Graebn.) Chrtek et Křísa,,bika bělavá měděná,,,Juncaceae,0,,,,,,,,,,Juncaceae
1857,Luzula multiflora (Ehrh.) Lej.,,bika mnohokvětá,,,Juncaceae,0,,,,,,,,,,Juncaceae
1858,Luzula nivea (L.) DC.,,bika sněhobílá,,,Juncaceae,0,,,,,,,,,,Juncaceae
1859,Luzula pallescens Sw. ,Syn.: Luzula pallidula Kirschner,bika bledavá,,,Juncaceae,0,,,,,,,,,,Juncaceae
1860,Luzula pilosa (L.) Willd.,,bika chlupatá,,,Juncaceae,0,,,,,,,,,,Juncaceae
1861,Luzula spicata (L.) DC.,,bika klasnatá,,,Juncaceae,0,,,,,,,,,,Juncaceae
1862,Luzula sudetica (Willd.) Schult.,,bika sudetská,,,Juncaceae,0,,,,,,,,,,Juncaceae
1863,Luzula sylvatica (Huds.) Gaudin,,bika lesní,,,Juncaceae,0,,,,,,,,,,Juncaceae
1864,Lychnis chalcedonica L.,,kohoutek plamenný,,,Caryophyllaceae,0,,,,,,,,,,Caryophyllaceae
1865,Lychnis coronaria (L.) Desr.,,kohoutek věncový,,,Caryophyllaceae,0,,,,,,,,,,Caryophyllaceae
1866,Lychnis flos-cuculi L.,,kohoutek luční,,,Caryophyllaceae,0,,,,,,,,,,Caryophyllaceae
1867,Lychnis flos-jovis (L.) Desr.,,kohoutek jovišův,,,Caryophyllaceae,0,,,,,,,,,,Caryophyllaceae
1868,Lychnis viscaria L.,"Syn.: Steris viscaria (L.) Raf., Viscaria vulgaris Bernh.",smolnička obecná,,,Caryophyllaceae,0,,,,,,,,,,Caryophyllaceae
1869,Lycium barbarum L.,Syn.: Lycium halimifolium Mill.,kustovnice cizí,,,Solanaceae,0,,,,,,,,,,Solanaceae
1870,Lycopodiella inundata (L.) Holub,Syn.: Lycopodium inundatum L.,plavuňka zaplavovaná (plavuň zaplavovaná),,,Lycopodiaceae,0,,,,,,,,,,Lycopodiaceae
1871,Lycopodium annotinum L.,,plavuň pučivá,,,Lycopodiaceae,0,,,,,,,,,,Lycopodiaceae
1872,Lycopodium clavatum L.,,plavuň vidlačka,,,Lycopodiaceae,0,,,,,,,,,,Lycopodiaceae
1873,Lycopsis arvensis subsp. arvensis,,prlina rolní pravá,,,Boraginaceae,0,,,,,,,,,,Boraginaceae
1874,Lycopsis arvensis subsp. orientalis (L.) Kusn.,,prlina rolní východní,,,Boraginaceae,0,,,,,,,,,,Boraginaceae
1875,Lycopus europaeus L. ,,karbinec evropský,Karbinec európsky,,Lamiaceae,0,,,,,,,,,#ffffff,Lamiaceae
1876,Lycopus europaeus subsp. europaeus,,karbinec evropský pravý,,,Lamiaceae,0,,,,,,,,,,Lamiaceae
1877,Lycopus europaeus subsp. menthifolius (Mabille) Skalický,,karbinec evropský mátolistý,,,Lamiaceae,0,,,,,,,,,,Lamiaceae
1878,Lycopus exaltatus L. f.,,karbinec statný,,,Lamiaceae,0,,,,,,,,,,Lamiaceae
1879,Lysimachia nemorum L.,,vrbina hajní,,,Primulaceae,0,,,,,,,,,,Primulaceae
1880,Lysimachia nummularia L.,,vrbina penízková,Čerkáč peniažtekový,,Primulaceae,0,,,,,,,,,#ffd700,Primulaceae
1881,Lysimachia thyrsiflora L.,Syn.: Naumburgia thyrsiflora (L.) Rchb.,vrbina kytkokvětá (bazanovec kytkokvětý),,,Primulaceae,0,,,,,,,,,,Primulaceae
1882,Lysimachia vulgaris L.,,vrbina obecná,,,Primulaceae,0,,,,,,,,,,Primulaceae
1883,Lythrum hyssopifolia L. ,,kyprej yzopolistý,,,Lythraceae,0,,,,,,,,,,Lythraceae
1884,Lythrum junceum Banks et Sol.,,,,,Lythraceae,0,,,,,,,,,,Lythraceae
1885,Lythrum salicaria L. ,,kyprej vrbice (kyprej obecný),Vrbica vrbolistá,,Lythraceae,0,,,,,,,,,#990000,Lythraceae
1886,Lythrum virgatum L. ,,kyprej prutnatý,,,Lythraceae,0,,,,,,,,,,Lythraceae
1887,Macleaya cordata (Willd.) R. Br.,,,,,Papaveraceae,0,,,,,,,,,,Papaveraceae
1888,Madia sativa Molina,,madie setá,,,Asteraceae,0,,,,,,,,,,Asteraceae
