ID,ename,developer,language,category,estor_tran,estor_anal,estor_dwh,estor_intg,website,e_win,e_lnx,e_unx,e_mac,edep_onprem,edep_cloud,open_source,eprice,free,security,openness,point
51,Ingres,Actian Corporation,C,1,1,0,0,0,http://www.actian.com/products/operational-databases/ingres/,1,1,1,1,1,0,,,,5,,
52,HyperSQL,,,1,1,0,0,0,http://hsqldb.org/,1,1,1,1,1,0,,,,5,,
53,HailDB / embedd InnoDB,Oracle Corporation,C,1,0,0,0,0,,1,1,1,1,1,0,,,,5,,embed RDBMS
54,BerkeleyDB,Oracle Corporation,C,2,0,0,0,0,http://www.oracle.com/database/berkeley-db/,1,1,1,1,1,0,,,,5,,embed RDBMS
55,Oracle NoSQL Database,Oracle Corporation,Java,2,0,0,0,0,https://www.oracle.com/database/nosql/technologies/nosql/,1,1,1,1,1,0,,,,5,,
56,EXtremeDB,McObject,C/C++,1,1,0,0,0,https://www.mcobject.com/,1,1,1,1,1,0,,,,5,,embed RDBMS
57,ClickHouse,Apache Software Foundation,C++,1,0,1,0,0,https://clickhouse.com/,1,1,1,1,1,0,,,,5,,column oriented
58,Kudu,Apache Software Foundation,C++,1,0,1,0,0,https://kudu.apache.org/,1,1,1,1,1,0,1,0,1,5,,column oriented
59,Pinot,Apache Software Foundation,Java,1,0,1,0,0,https://pinot.apache.org/,1,1,1,1,1,0,1,0,1,5,,column oriented RT
60,DuckDB,,C++,1,0,1,0,0,https://duckdb.org/,1,1,1,1,1,0,,,,5,,column oriented
61,SkySQL,MariaDB corporation,,1,0,1,0,0,https://mariadb.com/products/skysql/,1,1,1,1,1,0,0,,,5,,column oriented
62,Avalanche,Actian Corporation,,7,0,0,0,0,https://www.actian.com/analytic-database/avalanche/,1,1,1,1,1,0,,,,5,,
63,Dbt,dbt Labs™,Python,7,0,0,0,1,https://www.getdbt.com/product/what-is-dbt/,0,0,0,0,1,0,1,0,1,5,,
64,Exasol,,,8,0,1,1,0,https://www.exasol.com/,0,0,0,0,1,0,0,0,1,5,,
65,Greenplum,VMWare,,8,0,1,1,0,https://greenplum.org/,0,1,1,0,1,0,1,0,1,5,,
66,Cloud Spanner,Google,,1,1,0,0,0,https://cloud.google.com/spanner,0,1,1,0,0,1,0,0,1,5,,
